PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Fareplus,Ageplus,Survivedplus,p0
2,1,1,0,1,0,3,1,7,3,0.9872000000000001,0.9834341006711105
3,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
4,1,1,0,1,0,3,3,5,3,0.8934,0.8830613763949383
9,1,3,0,0,2,0,3,1,2,0.6242000000000001,0.6079743756161984
10,1,2,0,1,0,0,1,3,1,0.8492999999999999,0.837314715813255
11,1,3,0,1,1,7,3,1,0,0.8463,0.8342174040629042
12,1,1,0,0,0,3,3,2,5,0.8575,0.8457892247954178
16,1,2,0,0,0,0,3,1,5,0.645,0.6289692005194211
18,1,2,1,0,0,0,3,1,3,0.22020000000000017,0.2063177001488138
20,1,3,0,0,0,0,1,0,4,0.6434,0.6273530556803559
22,1,2,1,0,0,4,3,1,3,0.3265999999999999,0.3108889288929401
23,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
24,1,1,1,0,0,1,3,3,2,0.41680000000000006,0.4002829014214196
26,1,3,0,1,5,0,3,3,3,0.5482,0.5315273828804186
29,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
32,1,1,0,1,0,2,1,14,3,0.9606,0.9540825073503908
33,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
37,1,3,1,0,0,0,1,0,5,0.10670000000000002,0.0963571071697148
40,1,3,0,1,0,0,1,1,1,0.7166,0.7015026934712845
44,1,2,0,1,2,0,1,4,0,0.8866,0.8759773826200885
45,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
48,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
53,1,1,0,1,0,4,1,7,4,0.9765,0.9714250566008032
54,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
56,1,1,1,0,0,3,3,3,5,0.3581,0.3420380970919365
57,1,2,0,0,0,0,3,1,2,0.7569,0.7425294668775921
59,1,2,0,1,2,0,3,2,0,0.7928,0.7792219362228207
62,1,1,0,0,0,2,0,8,3,1.0462,
66,1,3,1,1,1,0,1,1,3,0.14260000000000028,0.13088579957562255
67,1,2,0,0,0,6,3,1,2,0.9165,0.9072323287369625
69,1,3,0,4,2,0,3,0,1,0.5067,0.4899508736847789
75,1,3,1,0,0,0,3,5,3,0.08749999999999991,0.07803367063246125
79,1,2,1,0,2,0,3,2,0,0.33210000000000006,0.31632202340429727
80,1,3,0,0,0,0,3,1,3,0.5869000000000001,0.5704042980804641
82,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
83,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
85,1,2,0,0,0,0,3,1,1,0.7942,0.7806559429460195
86,1,3,0,3,0,0,3,1,3,0.4708,0.454077958657309
89,1,1,0,3,2,3,3,20,2,0.8533,0.841447032933361
98,1,1,1,0,1,4,1,6,2,0.5904,0.5739254220942777
99,1,2,0,0,1,0,3,2,3,0.7196,0.7045514127721799
107,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
108,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
110,1,3,0,1,0,0,2,2,4,0.5578000000000001,0.5411616685309473
124,1,2,0,0,0,5,3,1,3,0.8526,0.8407236618687658
126,1,3,1,1,0,0,1,1,1,0.21720000000000006,0.2033860949379268
128,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
129,1,3,0,1,1,6,1,2,5,0.7270000000000001,0.7120751602437132
134,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
137,1,1,0,0,2,4,3,2,1,1.0333,
142,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
143,1,3,0,1,0,0,3,1,2,0.5855,0.5689960892979148
147,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
152,1,1,0,1,0,3,3,6,2,0.9307000000000001,0.92219189928493
157,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
162,1,2,0,0,0,0,3,1,4,0.6823,0.6667024121263977
166,1,3,1,0,2,0,3,2,0,0.19940000000000002,0.18601459494589717
167,1,1,0,0,1,5,3,5,5,0.9107000000000001,0.9011462351924618
173,1,3,0,1,1,0,3,1,0,0.6601,0.6442312909811186
184,1,2,1,2,1,6,3,3,0,0.4142999999999999,0.3977972535700677
185,1,3,0,0,2,0,3,2,0,0.6988000000000001,0.6834303109964015
187,1,3,0,1,0,0,2,1,5,0.5205000000000001,0.5037634545720465
188,1,1,1,0,0,0,3,2,4,0.3156000000000001,0.30003014221707636
191,1,2,0,0,0,0,3,1,3,0.7196,0.7045514127721799
193,1,3,0,1,0,0,3,0,1,0.6228,0.6065624204421044
194,1,2,1,1,1,6,3,2,0,0.45300000000000007,0.4363235382318558
195,1,1,0,0,0,2,1,2,4,0.962,0.9555946851473646
196,1,1,0,0,0,2,1,14,5,0.9247000000000001,0.9158598615882982
199,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
205,1,3,1,0,0,0,3,0,1,0.16210000000000013,0.1497533609856977
208,1,3,1,0,0,0,1,1,2,0.21860000000000013,0.20475404453987328
209,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
210,1,1,1,0,0,1,1,3,4,0.43599999999999994,0.41938715761868145
212,1,2,0,0,0,0,3,2,3,0.7196,0.7045514127721799
216,1,1,0,1,0,4,1,11,3,1.0138,
217,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
219,1,1,0,0,0,4,1,7,3,1.0525,
221,1,3,1,0,0,0,3,0,1,0.16210000000000013,0.1497533609856977
225,1,1,1,1,0,3,3,9,3,0.394,0.3776301171667888
227,1,2,1,0,0,0,3,1,1,0.29480000000000006,0.27952500631428073
231,1,1,0,1,0,3,3,8,3,0.8934,0.8830613763949383
234,1,3,0,4,2,0,3,3,0,0.544,0.5273143542405224
238,1,2,0,0,2,0,3,2,0,0.8315,0.8189601532971456
242,1,3,0,1,0,0,2,1,3,0.5951000000000001,0.5786551464014865
248,1,2,0,0,2,0,3,1,2,0.7569,0.7425294668775921
249,1,1,1,1,1,4,3,5,3,0.4206,0.4040619223164234
256,1,3,0,0,2,0,1,1,2,0.718,0.7029253261645304
257,1,1,0,0,0,0,1,7,4,0.9088,0.8991552111032977
258,1,1,0,0,0,2,3,8,3,0.9055,0.8957001082257058
259,1,1,0,0,0,0,1,21,3,0.9461,0.9385347366287391
260,1,2,0,0,1,0,3,2,5,0.645,0.6289692005194211
262,1,3,1,4,2,0,3,3,0,0.04459999999999997,0.037684538054696015
268,1,3,1,1,0,0,3,0,2,0.08610000000000007,0.07670250588598777
269,1,1,0,0,1,3,3,15,5,0.8575,0.8457892247954178
270,1,1,0,0,0,3,3,13,3,0.9321,0.923671946396582
272,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
273,1,2,0,0,1,0,3,1,4,0.6823,0.6667024121263977
275,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
276,1,1,0,1,0,4,3,7,6,0.8081,0.7949073758831435
280,1,3,0,1,1,0,3,2,3,0.5482,0.5315273828804186
284,1,3,1,0,0,0,3,0,1,0.16210000000000013,0.1497533609856977
287,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
289,1,2,1,0,0,0,3,1,4,0.18290000000000006,0.16994893133469244
290,1,3,0,0,0,0,2,0,2,0.6711,0.6553606532207643
291,1,1,0,0,0,0,3,7,2,0.8896000000000001,0.8791011175839268
292,1,1,0,1,0,2,1,9,1,1.0352000000000001,
299,1,1,1,0,0,3,3,3,3,0.4327,0.41610180022742715
300,1,1,0,0,1,2,1,19,5,0.9247000000000001,0.9158598615882982
301,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
302,1,3,1,2,0,0,2,2,3,0.05699999999999994,0.04923298002277578
304,1,2,0,0,0,5,2,1,4,0.8622000000000001,0.8506524522696004
306,1,1,1,1,2,3,3,15,0,0.5059,0.4891505359651556
307,1,1,0,0,0,0,1,11,4,0.9088,0.8991552111032977
308,1,1,0,1,0,3,1,10,1,1.0618,
310,1,1,0,0,0,5,1,5,3,1.0791,
311,1,1,0,0,0,3,1,8,2,1.0632000000000001,
312,1,1,0,2,2,2,1,20,1,0.9965,0.9945215101724408
316,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
317,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
319,1,1,0,0,2,3,3,16,3,0.9321,0.923671946396582
320,1,1,0,1,1,5,1,13,4,1.0031,
323,1,2,0,0,0,0,2,1,3,0.7665,0.7523270364558821
324,1,2,0,1,1,0,3,2,2,0.7182,0.7031285740957307
326,1,1,0,0,0,3,1,13,3,1.0259,
328,1,2,0,0,0,4,3,1,3,0.8260000000000001,0.8132993544531628
329,1,3,0,1,1,0,3,2,3,0.5482,0.5315273828804186
330,1,1,0,0,1,2,1,5,1,1.0739,
331,1,3,0,2,0,0,2,2,4,0.5191,0.502361595802342
335,1,1,0,1,0,0,3,13,5,0.7390000000000001,0.7242869191712019
338,1,1,0,0,0,5,1,13,4,1.0418,
339,1,3,1,0,0,0,3,0,4,0.05020000000000002,0.04288475140867642
341,1,2,1,1,1,6,3,2,0,0.45300000000000007,0.4363235382318558
342,1,1,0,3,2,3,3,20,2,0.8533,0.841447032933361
346,1,2,0,0,0,6,3,1,2,0.9165,0.9072323287369625
347,1,2,0,0,0,0,3,1,4,0.6823,0.6667024121263977
348,1,3,0,1,0,0,3,1,4,0.5109,0.4941533505034509
349,1,3,1,1,1,0,3,1,0,0.16070000000000007,0.14839652764059008
357,1,1,0,0,1,5,3,5,2,1.0226,
359,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
360,1,3,0,0,0,0,2,0,5,0.5592,0.5425671939922864
367,1,1,0,1,0,4,1,7,6,0.9019,0.8919350563970436
368,1,3,0,0,0,0,1,0,4,0.6434,0.6273530556803559
369,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
370,1,1,0,0,0,2,1,6,2,1.0366,
371,1,1,1,1,0,5,1,5,2,0.5783,0.5617560372091196
376,1,1,0,1,0,0,1,8,5,0.8328,0.8202988593113061
377,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
381,1,1,0,0,0,0,1,18,4,0.9088,0.8991552111032977
382,1,3,0,0,2,0,1,1,0,0.7926,0.7790170982903056
384,1,1,0,1,0,0,3,5,3,0.8136000000000001,0.8005536335798938
388,1,2,0,0,0,0,3,1,3,0.7196,0.7045514127721799
390,1,2,0,0,0,0,1,1,1,0.888,0.8774348262852476
391,1,1,1,1,2,2,3,12,3,0.36740000000000006,0.35124915245124244
392,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
394,1,1,0,1,0,4,1,11,2,1.0511,
395,1,3,0,0,2,7,3,1,2,0.8104,0.7972680255022806
400,1,2,0,0,0,0,3,1,2,0.7569,0.7425294668775921
401,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
408,1,2,1,1,1,0,3,1,0,0.2934000000000001,0.27814620100308185
413,1,1,0,1,0,3,2,9,3,0.9403,0.9323625403312353
415,1,3,1,0,0,0,3,0,4,0.05020000000000002,0.04288475140867642
417,1,2,0,1,1,0,3,3,3,0.6809000000000001,0.6652841288395823
418,1,2,0,0,2,0,3,1,1,0.7942,0.7806559429460195
427,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
428,1,2,0,0,0,0,3,2,1,0.7942,0.7806559429460195
430,1,3,1,0,0,5,3,0,3,0.22049999999999992,0.2066109191932451
431,1,1,1,0,0,3,3,2,2,0.47,0.45327954806511356
432,1,3,0,1,0,0,3,1,5,0.4736,0.45687273508027315
433,1,2,0,1,0,0,3,2,4,0.6436,0.6275550631038946
436,1,1,0,1,2,2,3,12,1,0.9414,0.9335314075289955
438,1,2,0,2,3,0,3,1,2,0.6795,0.6638660076381073
441,1,2,0,1,1,0,3,2,4,0.6436,0.6275550631038946
444,1,2,0,0,0,0,3,1,2,0.7569,0.7425294668775921
445,1,3,1,0,0,0,3,0,5,0.012900000000000134,0.009119610231557341
446,1,1,1,0,2,1,3,8,0,0.49140000000000006,0.4746518476821888
447,1,2,0,0,1,0,3,1,1,0.7942,0.7806559429460195
448,1,1,1,0,0,0,3,2,3,0.3529000000000001,0.3368906876847231
449,1,3,0,2,1,0,1,1,0,0.7152000000000001,0.700080240145851
450,1,1,1,0,0,3,3,3,5,0.3581,0.3420380970919365
454,1,1,1,1,0,3,1,8,4,0.4505000000000001,0.4338316583333271
456,1,3,1,0,0,0,1,0,2,0.21860000000000013,0.20475404453987328
458,1,1,0,1,0,4,3,5,5,0.8454,0.8332885256286524
459,1,2,0,0,0,0,3,1,5,0.645,0.6289692005194211
461,1,1,1,0,0,5,3,2,4,0.4486000000000001,0.43193811381690395
470,1,3,0,2,1,0,1,1,0,0.7152000000000001,0.700080240145851
473,1,2,0,1,2,0,3,2,3,0.6809000000000001,0.6652841288395823
474,1,2,0,0,0,4,1,1,2,0.9571000000000001,0.9503115839408157
480,1,3,0,0,1,0,3,1,0,0.6988000000000001,0.6834303109964015
484,1,3,0,0,0,0,3,0,6,0.4750000000000001,0.45827032113631133
485,1,1,1,1,0,2,1,9,2,0.49850000000000017,0.4817494451236857
487,1,1,0,1,0,3,3,9,3,0.8934,0.8830613763949383
490,1,3,1,1,1,0,3,1,0,0.16070000000000007,0.14839652764059008
497,1,1,0,1,0,4,1,7,5,0.9392,0.9311944351565675
505,1,1,0,0,0,2,3,8,1,0.9801,0.9754213249738841
507,1,2,0,0,2,0,3,2,3,0.7196,0.7045514127721799
508,1,1,1,0,0,0,3,2,3,0.3529000000000001,0.3368906876847231
510,1,3,1,0,0,0,3,5,2,0.12480000000000002,0.11372810151659005
511,1,3,1,0,0,0,2,0,2,0.17169999999999996,0.1590660217109808
513,1,1,1,0,0,5,3,2,3,0.4859000000000001,0.4691560314559597
514,1,1,0,1,0,0,1,5,5,0.8328,0.8202988593113061
517,1,2,0,0,0,6,3,1,3,0.8792,0.8682821165250075
519,1,2,0,1,0,0,3,2,3,0.6809000000000001,0.6652841288395823
521,1,1,0,0,0,2,3,9,3,0.9055,0.8957001082257058
524,1,1,0,0,1,2,1,5,4,0.962,0.9555946851473646
527,1,2,0,0,0,0,3,1,5,0.645,0.6289692005194211
531,1,2,0,1,1,0,3,2,0,0.7928,0.7792219362228207
534,1,3,0,0,2,0,1,2,3,0.6807000000000001,0.6650815301861355
536,1,2,0,0,2,0,3,2,0,0.8315,0.8189601532971456
538,1,1,0,0,0,0,1,10,3,0.9461,0.9385347366287391
540,1,1,0,0,2,2,1,4,2,1.0366,
541,1,1,0,0,2,2,3,7,3,0.9055,0.8957001082257058
544,1,2,1,1,0,0,3,2,3,0.18150000000000022,0.1685875454896648
547,1,2,0,1,0,0,3,2,1,0.7555000000000001,0.7411014813238536
548,1,2,1,0,0,0,1,1,4,0.27669999999999995,0.26171264618383966
550,1,2,1,1,1,0,3,3,0,0.2934000000000001,0.27814620100308185
551,1,1,1,0,2,3,1,11,1,0.6011000000000001,0.5846953665766245
554,1,3,1,0,0,0,1,0,2,0.21860000000000013,0.20475404453987328
555,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
557,1,1,0,1,0,1,1,3,4,0.8967,0.8865038810446896
559,1,1,0,1,1,5,3,7,3,0.9466000000000001,0.9390679182232099
560,1,3,0,1,0,0,3,1,3,0.5482,0.5315273828804186
570,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
571,1,2,1,0,0,0,3,1,6,0.10830000000000006,0.09788918426946847
572,1,1,0,2,0,3,3,5,5,0.7801,0.766224491697969
573,1,1,1,0,0,5,3,2,3,0.4859000000000001,0.4691560314559597
574,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
577,1,2,0,0,0,0,3,1,3,0.7196,0.7045514127721799
578,1,1,0,1,0,5,3,5,3,0.9466000000000001,0.9390679182232099
580,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
581,1,2,0,1,1,0,3,3,2,0.7182,0.7031285740957307
582,1,1,0,1,1,3,1,11,3,0.9872000000000001,0.9834341006711105
586,1,1,0,0,2,5,3,7,1,1.0599,
588,1,1,1,1,1,2,1,7,6,0.34930000000000017,0.33332831103217814
592,1,1,0,1,0,4,1,7,5,0.9392,0.9311944351565675
597,1,2,0,0,0,0,3,3,4,0.6823,0.6667024121263977
600,1,1,1,1,0,1,1,5,4,0.3973,0.380906524867008
601,1,2,0,2,1,0,3,2,2,0.6795,0.6638660076381073
605,1,1,1,0,0,0,1,2,3,0.4467,0.43004481506601666
608,1,1,1,0,0,0,3,3,2,0.3902000000000001,0.37385825269972534
609,1,2,0,1,2,0,1,4,2,0.812,0.7989106497997639
610,1,1,0,0,0,3,3,15,4,0.8948,0.8845214463847292
613,1,3,0,1,0,0,2,1,6,0.4832000000000001,0.4664588278116442
616,1,2,0,1,2,0,3,6,2,0.7182,0.7031285740957307
619,1,2,0,2,1,6,3,3,0,0.9137000000000001,0.9042926271243245
622,1,1,1,1,0,4,3,5,4,0.3833,0.36701200858233285
623,1,3,1,1,1,0,1,1,2,0.17990000000000017,0.1670320271593365
628,1,1,0,0,0,4,3,7,2,0.996,0.9938854361037366
631,1,1,1,0,0,1,3,3,8,0.19300000000000006,0.17977862662940372
633,1,1,1,0,0,2,1,3,3,0.4999000000000001,0.48314937008069253
636,1,2,0,0,0,0,3,1,2,0.7569,0.7425294668775921
642,1,1,0,0,0,2,1,6,2,1.0366,
644,1,3,1,0,0,0,3,5,4,0.05020000000000002,0.04288475140867642
645,1,3,0,2,1,0,1,1,0,0.7152000000000001,0.700080240145851
646,1,1,1,1,0,4,1,7,4,0.4771000000000001,0.4603669473644213
648,1,1,1,0,0,1,1,3,5,0.39869999999999994,0.3822967513688121
650,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
652,1,2,0,0,1,0,3,2,1,0.7942,0.7806559429460195
654,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
661,1,1,1,2,0,0,3,13,5,0.20089999999999986,0.1874769353565588
665,1,3,1,1,0,0,3,0,2,0.08610000000000007,0.07670250588598777
670,1,1,0,1,0,3,3,5,3,0.8934,0.8830613763949383
671,1,2,0,1,1,0,3,3,4,0.6436,0.6275550631038946
674,1,2,1,0,0,0,3,1,3,0.22020000000000017,0.2063177001488138
678,1,3,0,0,0,0,3,0,1,0.6615000000000001,0.6456472208726481
680,1,1,1,0,1,2,1,21,3,0.4999000000000001,0.48314937008069253
682,1,1,1,0,0,4,1,7,2,0.5904,0.5739254220942777
690,1,1,0,0,1,2,3,17,1,0.9801,0.9754213249738841
691,1,1,1,1,0,2,3,5,3,0.36740000000000006,0.35124915245124244
692,1,3,0,0,1,0,1,1,0,0.7926,0.7790170982903056
693,1,3,1,0,0,0,3,5,5,0.012900000000000134,0.009119610231557341
698,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
701,1,1,0,1,0,3,1,18,1,1.0618,
702,1,1,1,0,0,5,3,2,3,0.4859000000000001,0.4691560314559597
707,1,2,0,0,0,0,3,1,4,0.6823,0.6667024121263977
708,1,1,1,0,0,5,3,2,4,0.4486000000000001,0.43193811381690395
709,1,1,0,0,0,0,3,15,2,0.8896000000000001,0.8791011175839268
710,1,3,1,1,1,0,1,1,5,0.06800000000000006,0.05956619490014141
711,1,1,0,0,0,3,1,4,2,1.0632000000000001,
713,1,1,1,1,0,3,3,5,4,0.3567,0.3406520531117965
717,1,1,0,0,0,3,1,18,3,1.0259,
718,1,2,0,0,0,5,3,1,2,0.8899,0.8794136243594809
721,1,2,0,0,1,0,3,3,0,0.8315,0.8189601532971456
725,1,1,1,1,0,5,3,5,2,0.48450000000000015,0.4677574203581417
727,1,2,0,3,0,0,3,2,3,0.6035,0.5871121726075658
728,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
731,1,1,0,0,0,2,3,17,2,0.9428000000000001,0.9350201907414922
738,1,1,1,0,0,2,1,21,3,0.4999000000000001,0.48314937008069253
741,1,1,1,0,0,4,3,3,5,0.38469999999999993,0.3684008221479364
743,1,1,0,2,2,2,1,20,2,0.9592,0.9525725598484058
745,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
748,1,2,0,0,0,0,3,1,3,0.7196,0.7045514127721799
751,1,2,0,1,1,0,3,2,0,0.7928,0.7792219362228207
752,1,3,1,0,1,5,3,1,0,0.33240000000000003,0.3166184440432032
755,1,2,0,1,2,0,3,6,4,0.6436,0.6275550631038946
756,1,2,1,1,1,0,3,1,0,0.2934000000000001,0.27814620100308185
760,1,1,0,0,0,2,3,8,3,0.9055,0.8957001082257058
763,1,3,1,0,0,0,1,0,2,0.21860000000000013,0.20475404453987328
764,1,1,0,1,2,2,3,12,3,0.8668,0.8554165812594712
766,1,1,0,1,0,4,3,7,5,0.8454,0.8332885256286524
775,1,2,0,1,3,0,3,2,5,0.6063000000000001,0.5899323006353495
778,1,3,0,0,0,0,3,1,0,0.6988000000000001,0.6834303109964015
780,1,1,0,0,1,2,3,17,4,0.8682000000000001,0.8568674212966625
781,1,3,0,0,0,0,1,0,1,0.7553000000000001,0.7408975002949026
782,1,1,0,1,0,2,3,5,1,0.9414,0.9335314075289955
787,1,3,0,0,0,0,3,0,1,0.6615000000000001,0.6456472208726481
789,1,3,1,1,2,0,3,2,0,0.16070000000000007,0.14839652764059008
797,1,1,0,0,0,4,3,2,4,0.9214,0.9123843607635537
798,1,3,0,0,0,0,3,0,3,0.5869000000000001,0.5704042980804641
802,1,2,0,1,1,0,3,2,3,0.6809000000000001,0.6652841288395823
803,1,1,1,1,2,2,3,12,1,0.44200000000000006,0.4253624496752653
804,1,3,1,0,1,0,1,0,0,0.2932000000000001,0.27794924299499907
805,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
810,1,1,0,1,0,5,3,5,3,0.9466000000000001,0.9390679182232099
821,1,1,0,1,1,2,3,9,5,0.7922,0.7786074374994599
822,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
824,1,3,0,0,1,5,3,1,2,0.7572000000000001,0.742835490799226
828,1,2,1,0,2,0,1,3,0,0.42589999999999995,0.4093343400776056
829,1,3,1,0,0,0,2,0,5,0.059800000000000075,0.051856317759245
830,1,1,0,0,0,2,0,8,6,0.9343,0.9259998296232651
831,1,3,0,1,0,0,1,1,1,0.7166,0.7015026934712845
832,1,2,1,1,1,0,3,1,0,0.2934000000000001,0.27814620100308185
836,1,1,0,1,1,5,1,8,3,1.0404,
839,1,3,1,0,0,0,3,5,3,0.08749999999999991,0.07803367063246125
840,1,1,1,0,0,3,1,2,6,0.4146000000000001,0.3980955082126638
843,1,1,0,0,0,0,1,3,3,0.9461,0.9385347366287391
850,1,1,0,1,0,3,1,8,4,0.9499,0.942591656444728
854,1,1,0,0,1,4,3,3,1,1.0333,
856,1,3,0,0,1,0,3,0,1,0.6615000000000001,0.6456472208726481
857,1,1,0,1,1,0,3,16,4,0.7763,0.7623392441169528
858,1,1,1,0,0,5,3,2,5,0.4113000000000001,0.39481505431178404
859,1,3,0,0,3,0,1,1,2,0.718,0.7029253261645304
863,1,1,0,0,0,4,3,2,4,0.9214,0.9123843607635537
866,1,2,0,0,0,0,3,1,4,0.6823,0.6667024121263977
867,1,2,0,1,0,0,1,1,2,0.812,0.7989106497997639
870,1,3,1,1,1,0,3,1,0,0.16070000000000007,0.14839652764059008
872,1,1,0,1,1,4,3,5,4,0.8827,0.8719200507238065
875,1,2,0,1,0,0,1,2,2,0.812,0.7989106497997639
876,1,3,0,0,0,0,1,0,1,0.7553000000000001,0.7408975002949026
880,1,1,0,0,1,3,1,8,5,0.9513,0.9440891846101943
881,1,2,0,0,1,0,3,2,2,0.7569,0.7425294668775921
888,1,1,0,0,0,2,3,3,1,0.9801,0.9754213249738841
890,1,1,1,0,0,3,1,3,2,0.5638000000000001,0.5471862942467607
